"b1_9"     "a1"     "c1"     "b2_9"     "a2"     "c2"     "b3"     "a3"     "c3"     "Y1_gamma1"     "Y1_gamma2"     "LogPost"     "k1_11"     "k2_11"     "k3_11"     "ktype1_11"     "ktype2_11"     "ktype3_11"
-4.41665     12.5593     1.63043     -1.73606     131.08     1.7235     8.76908     54.7412     1.66568     81.1241     0.00497367     -2123.35     -3.64836     -1.48931     8.76908     0     3     0
-6.96685     13.9091     1.67851     -1.83931     130.718     1.72126     8.31607     72.8366     1.68307     94.1344     0.00616143     -2118.53     -4.34709     -1.39511     8.31607     0     3     0
-7.02177     14.6084     1.64619     -1.77049     130.718     1.72184     8.48366     118.592     1.69849     101.551     0.00394074     -2119.29     -3.76867     -1.4527     8.48366     0     3     0
-7.27731     12.5539     1.69713     -1.80982     130.381     1.71991     8.13806     64.2751     1.64484     78.8945     0.00741596     -2125.15     -4.28875     -1.33213     8.13806     0     3     0
-6.30087     12.2276     1.65697     -1.75633     130.668     1.72066     8.24826     77.1006     1.66382     91.3854     0.00229117     -2114.04     -4.10536     -1.35416     8.24826     0     3     0
-4.73329     14.4113     1.6544     -1.6938     129.778     1.72455     7.97205     67.3817     1.63614     89.1155     0.00381356     -2120.37     -3.28689     -1.5742     7.97205     0     3     0
-7.19968     13.1052     1.6544     -1.74253     129.602     1.73037     8.74618     69.3894     1.67235     94.7116     0.000849626     -2115.7     -3.98232     -1.36932     8.74618     0     3     0
-5.35598     14.3746     1.6544     -1.72304     129.155     1.73202     8.31352     50.1888     1.67259     101.054     0.00498575     -2121.1     -3.3711     -1.62899     8.31352     0     3     0
-6.13323     14.0338     1.6544     -1.79416     127.962     1.73381     8.0929     63.1382     1.66281     101.055     0.00368948     -2111.51     -4.06384     -1.43544     8.0929     0     3     0
-6.86334     15.8367     1.67049     -1.89825     127.639     1.73209     8.67759     89.363     1.69721     98.84     0.00200278     -2116.7     -4.04255     -1.2768     8.67759     0     3     0
-5.35714     14.8449     1.67049     -1.69693     127.901     1.73161     8.62365     71.6632     1.66894     91.0022     0.00159802     -2115.49     -3.93152     -1.24924     8.62365     0     3     0
-6.79413     16.2718     1.65821     -1.7442     128.969     1.72633     7.85251     67.2178     1.6823     96.2797     0.00872571     -2120.99     -4.28382     -1.22339     7.85251     0     3     0
-5.42578     15.7269     1.64669     -1.8513     129.596     1.72141     8.15341     58.1726     1.66962     87.9115     0.00615666     -2115.95     -3.80159     -1.51082     8.15341     0     3     0
-5.21678     16.1536     1.65286     -1.92641     129.456     1.71812     8.14505     78.5869     1.67864     95.8159     0.00204814     -2114.83     -3.75952     -1.37972     8.14505     0     3     0
-5.58033     15.6758     1.65757     -1.96396     129.966     1.71895     7.94689     89.6567     1.6663     90.479     0.00266182     -2117.2     -3.80647     -1.40034     7.94689     0     3     0
-5.94122     15.4534     1.65267     -1.84292     130.645     1.71833     8.01369     75.3459     1.66478     86.642     0.00409223     -2115.51     -3.07427     -1.64569     8.01369     0     3     0
-5.80489     15.4534     1.65267     -1.85296     130.419     1.71833     8.21542     76.0408     1.66429     94.2868     0.00115716     -2109.74     -4.35998     -1.17081     8.21542     0     3     0
