"b1_2"     "a1"     "c1"     "b2_2"     "a2"     "c2"     "b3"     "a3"     "c3"     "Y1_gamma1"     "Y1_gamma2"     "LogPost"     "k1_11"     "k2_11"     "k3_11"     "ktype1_11"     "ktype2_11"     "ktype3_11"
-6.50079     19.4495     1.6413     -2.1024     102.384     1.79113     7.54511     80.9392     1.64911     147.642     0.000491941     -2208.54     -4.94559     -1.82541     7.54511     0     3     0
-6.49775     19.7163     1.65245     -2.1686     102.805     1.78998     8.01647     58.962     1.66374     140.132     0.000491941     -2201.19     -4.33841     -1.95494     8.01647     0     3     0
-6.42782     21.4076     1.64998     -2.13109     103.83     1.78425     8.08251     97.708     1.63733     132.577     0.00327954     -2198.59     -4.69281     -1.728     8.08251     0     3     0
-6.47431     16.2356     1.65203     -2.12819     104.127     1.78196     7.95287     96.6208     1.6384     143.861     0.00182633     -2198.21     -4.56579     -1.99923     7.95287     0     3     0
-7.23206     16.2356     1.6641     -2.14563     103.686     1.77934     7.6719     79.2774     1.67622     147.401     0.00165176     -2206.7     -4.65014     -1.99462     7.6719     0     3     0
-7.86422     17.2004     1.6564     -2.14139     103.522     1.78411     7.34134     60.479     1.68173     127.773     0.00682118     -2211.57     -4.44579     -2.01153     7.34134     0     3     0
-5.55501     18.1075     1.65944     -2.14139     103.522     1.78597     8.14868     116.693     1.67221     138.515     0.00262215     -2202.37     -4.42615     -2.0008     8.14868     0     3     0
-4.71855     16.789     1.64887     -2.14023     103.196     1.7824     7.85649     87.4602     1.67378     153.242     0.00105099     -2208.24     -4.45537     -2.04388     7.85649     0     3     0
-7.39463     16.789     1.67237     -2.14023     103.339     1.7824     7.93054     110.711     1.65338     127.091     0.0021203     -2199.77     -4.93302     -1.7987     7.93054     0     3     0
-3.41753     16.789     1.67842     -2.23882     103.4     1.77896     7.98555     104.668     1.66256     151.237     0.00200018     -2204.71     -4.83032     -1.82581     7.98555     0     3     0
-7.47833     17.0735     1.66335     -2.18263     103.923     1.77765     7.7664     87.049     1.66256     151.978     0.0018252     -2204.48     -4.90944     -1.82183     7.7664     0     3     0
-7.6485     18.1979     1.64739     -2.15742     102.655     1.7809     7.77453     105.182     1.67527     132.48     0.00287311     -2200.24     -4.81799     -1.89203     7.77453     0     3     0
-7.26486     16.4999     1.64739     -2.17433     102.785     1.78284     8.04476     122.51     1.68993     147.698     0.00159181     -2203.43     -4.91102     -1.87995     8.04476     0     3     0
-6.29235     23.2149     1.64374     -2.17545     101.213     1.78722     8.39701     121.058     1.68097     170.653     0.000631374     -2210.08     -4.73724     -1.8402     8.39701     0     3     0
-6.29235     24.292     1.66233     -2.17545     100.651     1.7901     7.83424     110.489     1.69394     148.109     0.00109391     -2198.78     -4.59474     -1.81257     7.83424     0     3     0
-6.29235     17.4377     1.666     -2.16535     100.135     1.79603     7.91112     72.2868     1.64309     131.203     0.00332413     -2205.68     -4.60039     -1.92991     7.91112     0     3     0
-5.12614     15.8497     1.6782     -2.16535     100.114     1.79549     8.6245     157.922     1.69218     122.072     0.000457765     -2206.76     -4.43349     -2.07236     8.6245     0     3     0
-5.97801     19.2667     1.65492     -2.16726     100.673     1.78745     8.0765     109.728     1.66368     158.928     0.000457765     -2208.49     -4.91415     -1.84309     8.0765     0     3     0
-6.93342     20.5312     1.6876     -2.17549     101.586     1.78814     8.26666     88.062     1.66413     171.874     0.000457765     -2216.06     -4.91773     -1.64474     8.26666     0     3     0
-6.00381     19.8989     1.6876     -2.18386     101.661     1.79279     7.60865     77.3059     1.64753     143.775     0.00077487     -2203.62     -4.81959     -1.75294     7.60865     0     3     0
-6.4061     19.8989     1.66685     -2.1336     102.671     1.78697     7.96992     77.3059     1.68187     146.683     0.00077487     -2203.8     -4.69299     -1.75109     7.96992     0     3     0
-6.38836     22.499     1.663     -2.15919     102.599     1.78954     7.68768     77.3059     1.68145     138.639     0.000289527     -2197.77     -4.94547     -1.48934     7.68768     0     3     0
-5.10044     23.1654     1.66686     -2.12223     103.453     1.78954     8.22581     81.3452     1.6597     137.273     0.00176241     -2195.14     -4.7485     -1.5725     8.22581     0     3     0
-4.6161     24.6315     1.63203     -2.04781     104.054     1.78618     7.87964     102.793     1.66307     134.816     0.00230025     -2199.13     -4.68914     -1.59098     7.87964     0     3     0
-6.93478     21.9885     1.62951     -2.15065     103.32     1.78175     8.45661     127.087     1.68651     135.025     0.00975385     -2209.26     -4.63952     -1.98466     8.45661     0     3     0
-5.36118     17.9412     1.65385     -2.16181     103.915     1.77835     7.92054     117.713     1.67744     150.27     0.00243592     -2203.12     -4.51126     -1.95107     7.92054     0     3     0
-6.41756     17.6277     1.67994     -2.1049     104.999     1.77835     8.34392     111.388     1.66838     149.766     0.00203284     -2201.6     -4.42388     -2.00776     8.34392     0     3     0
-5.47816     17.6277     1.62528     -2.08101     105.991     1.77724     8.2591     99.3414     1.66242     143.415     0.0025785     -2203.05     -4.69771     -1.96625     8.2591     0     3     0
-7.55908     18.6043     1.63963     -2.07131     105.991     1.77589     8.16723     110.394     1.66054     139.316     0.00323028     -2202.89     -4.85605     -1.82374     8.16723     0     3     0
-6.71497     18.6043     1.65315     -2.14874     104.723     1.77441     8.03225     157.064     1.66992     145.258     0.00281309     -2201.58     -4.48775     -1.96874     8.03225     0     3     0
-6.71497     18.7698     1.6604     -2.14717     104.723     1.77631     8.03225     137.001     1.6831     141.902     0.00228016     -2204.65     -4.56622     -1.91505     8.03225     0     3     0
-6.17746     18.9617     1.65833     -2.206     104.672     1.77456     7.52262     101.458     1.6831     150.866     0.00174663     -2206.94     -4.48644     -2.0811     7.52262     0     3     0
-6.32207     21.551     1.66248     -2.16051     106.074     1.77243     7.65961     101.458     1.64446     135.453     0.00132215     -2198.08     -4.70496     -1.70781     7.65961     0     3     0
-6.41217     20.2297     1.66206     -2.13172     105.779     1.77791     8.45562     68.5129     1.67928     142.117     0.00218025     -2202.12     -4.79821     -1.71176     8.45562     0     3     0
-6.23428     19.7101     1.67014     -2.11167     104.723     1.77791     8.34788     69.9647     1.65181     125.613     0.0022199     -2204.16     -4.65805     -1.79181     8.34788     0     3     0
-4.82445     17.9304     1.6665     -2.12217     104.162     1.77918     7.46256     66.3506     1.65991     123.531     0.00668701     -2201.78     -4.79561     -1.80491     7.46256     0     3     0
-6.87187     18.3801     1.6665     -2.13916     103.963     1.78283     7.83434     108.491     1.65406     145.762     0.00266443     -2199.61     -4.39252     -2.01927     7.83434     0     3     0
-6.48776     16.5346     1.65554     -2.09026     103.419     1.78327     7.94536     108.832     1.65635     139.369     0.00266443     -2206.57     -4.93467     -1.95618     7.94536     0     3     0
-3.63624     24.4173     1.6454     -2.10779     103.875     1.78327     8.19525     133.88     1.65876     145.176     0.00116369     -2201.22     -5.00751     -1.56832     8.19525     0     3     0
-5.13903     20.0765     1.68381     -2.06062     103.867     1.7874     8.42242     98.2432     1.65876     147.752     0.000873381     -2204.04     -4.62198     -1.77904     8.42242     0     3     0
