"b1_2"     "a1"     "c1"     "b2_2"     "a2"     "c2"     "b3"     "a3"     "c3"     "Y1_gamma1"     "Y1_gamma2"     "LogPost"     "k1_11"     "k2_11"     "k3_11"     "ktype1_11"     "ktype2_11"     "ktype3_11"
-3.56354     19.7493     1.59351     -1.25971     185.828     1.59965     7.58788     56.7681     1.68763     86.9015     0.00068262     -1932.02     -5.00563     -0.501102     7.58788     0     3     0
-4.6441     25.033     1.59351     -1.25227     185.533     1.59965     7.60977     70.957     1.69564     78.408     0.00234752     -1931.68     -5.3369     0.00465766     7.60977     0     3     0
-4.26436     32.1248     1.59296     -1.2693     186.926     1.59656     8.38014     155.58     1.69564     86.7447     0.00286403     -1938.01     -4.79961     0.12612     8.38014     0     3     0
-4.26436     38.9097     1.58488     -1.24435     187.63     1.59656     8.59722     122.523     1.62971     85.6359     0.00103795     -1932.29     -4.79961     0.479944     8.59722     0     3     0
-3.98224     30.4167     1.5861     -1.19594     188.641     1.60021     8.36117     77.7229     1.6562     84.3339     0.00103795     -1934.63     -4.92757     0.0215111     8.36117     0     3     0
-3.85691     37.0996     1.58073     -1.19594     187.792     1.60105     7.94339     56.8263     1.6562     79.1102     0.000138874     -1933.17     -4.86055     0.33338     7.94339     0     3     0
-4.37645     13.4069     1.59517     -1.25968     188.068     1.599     8.30593     62.7946     1.67197     92.4081     0.000138874     -1934.06     -4.33709     -0.716316     8.30593     0     3     0
-4.87287     21.4646     1.59445     -1.22465     187.624     1.59948     8.09571     60.9536     1.71502     84.0371     0.000536768     -1929.65     -5.5255     -0.131267     8.09571     0     3     0
-4.25265     14.0054     1.58842     -1.26222     186.146     1.60111     8.65305     99.2023     1.70722     78.1186     0.00101956     -1938.35     -5.66927     -0.394431     8.65305     0     3     0
-4.31479     20.4329     1.59222     -1.24115     188.293     1.59592     8.2345     96.6991     1.7027     85.2531     0.00201345     -1935.24     -5.08764     -0.307135     8.2345     0     3     0
-4.93323     24.4116     1.59548     -1.22985     188.142     1.59717     8.15522     94.6256     1.65782     75.1951     0.00201345     -1933.45     -5.35334     0.0357114     8.15522     0     3     0
-4.64318     26.3734     1.59652     -1.26693     187.499     1.59717     8.36627     119.587     1.67195     78.9597     0.0034186     -1934.68     -5.27618     -0.0521356     8.36627     0     3     0
-3.71845     24.3832     1.57188     -1.24853     186.084     1.59774     8.71792     161.074     1.68935     80.2967     0.00304464     -1941.61     -5.4459     -0.180603     8.71792     0     3     0
-5.82743     22.7266     1.59052     -1.23034     187.454     1.59516     8.27042     101.35     1.63669     84.8196     0.0033379     -1933.04     -4.93241     -0.19839     8.27042     0     3     0
-4.72923     18.3082     1.58083     -1.25061     186.559     1.59699     7.78427     101.218     1.64967     88.4427     0.00223765     -1934.8     -5.27041     -0.351395     7.78427     0     3     0
-2.73697     27.8064     1.58129     -1.27757     186.021     1.59718     7.71356     73.1759     1.67429     69.8584     0.0059733     -1938.84     -4.52844     -0.29691     7.71356     0     3     0
-2.34414     38.3183     1.59638     -1.26674     187.179     1.59731     7.72322     79.442     1.63734     79.0302     0.00140369     -1935.25     -4.02219     0.00919193     7.72322     0     3     0
-4.29527     18.5434     1.59708     -1.2039     188.936     1.59881     9.10027     152.985     1.66177     74.8944     0.00124593     -1930.1     -4.51888     -0.580624     9.10027     0     3     0
-3.50149     21.8738     1.59708     -1.13219     189.629     1.6015     8.43076     93.14     1.66903     84.2669     0.00328313     -1938.27     -5.15792     -0.149192     8.43076     0     3     0
-3.45105     27.7843     1.58339     -1.1777     188.846     1.59965     9.28484     100.887     1.66903     84.2669     0.00113502     -1935.15     -5.1646     0.137963     9.28484     0     3     0
-2.78086     26.7808     1.5851     -1.21763     190.689     1.59467     8.91184     150.658     1.67076     72.1945     0.00339921     -1933.94     -5.38888     0.118283     8.91184     0     3     0
-1.66159     14.1962     1.59249     -1.1761     190.52     1.59598     8.43859     89.1618     1.68402     82.1464     2.89373e-06     -1930.83     -4.80489     -0.648967     8.43859     0     3     0
-2.84392     22.3093     1.59249     -1.16941     189.953     1.59709     7.95212     58.5484     1.69456     77.3178     2.89373e-06     -1933.63     -5.93722     0.0775394     7.95212     0     3     0
-3.2755     21.6911     1.59629     -1.23971     188.026     1.59674     8.44137     80.7558     1.64832     78.361     2.89373e-06     -1929.9     -4.66629     -0.334948     8.44137     0     3     0
-3.33291     20.9174     1.58188     -1.25819     188.152     1.59674     8.51705     88.5299     1.64126     81.6997     0.000932345     -1936.21     -4.68879     -0.413824     8.51705     0     3     0
-3.13679     31.2417     1.58376     -1.2143     189.538     1.59418     8.79782     173.559     1.66436     80.098     0.000738279     -1933.54     -4.81151     -0.0102539     8.79782     0     3     0
-4.279     16.171     1.58379     -1.20978     188.875     1.59798     8.76078     119.514     1.66436     80.4248     0.000738279     -1927.35     -4.80225     -0.591447     8.76078     0     3     0
-4.24736     18.9248     1.57771     -1.23874     189.346     1.59612     8.05196     77.5071     1.6515     85.7981     0.000738279     -1931.75     -4.44475     -0.65339     8.05196     0     3     0
-4.61994     21.3541     1.57293     -1.23343     189.404     1.59612     8.11241     98.5929     1.67348     73.215     0.00605447     -1933.82     -4.72635     -0.361078     8.11241     0     3     0
-4.6699     29.2194     1.58437     -1.25545     189.348     1.59595     7.86299     56.911     1.67881     82.7981     0.000641167     -1934.66     -4.64884     -0.0169206     7.86299     0     3     0
-4.48735     32.1495     1.58437     -1.22712     188.969     1.59869     8.12572     56.911     1.68361     86.8535     0.000641167     -1934.6     -4.10175     -0.166147     8.12572     0     3     0
-3.70566     39.316     1.58592     -1.23976     188.142     1.59902     8.49072     101.956     1.72977     83.5673     0.00373584     -1936.59     -4.10332     0.0704733     8.49072     0     3     0
-1.61013     26.0672     1.60063     -1.21638     188.142     1.60172     8.05127     76.4126     1.72048     91.859     9.40692e-06     -1936.39     -4.57843     -0.208183     8.05127     0     3     0
-2.89139     28.3903     1.60091     -1.1598     190.108     1.60138     8.27783     82.6152     1.66498     76.1453     0.00258455     -1934.51     -4.88544     0.0265799     8.27783     0     3     0
-1.83937     20.0136     1.60091     -1.13239     190.108     1.60132     7.75995     33.1341     1.66498     82.0035     0.00258455     -1938.24     -5.73214     -0.0531262     7.75995     0     3     0
-2.96909     22.1523     1.60219     -1.20087     186.606     1.60532     8.15052     67.6444     1.6459     79.1369     0.00307543     -1933.11     -4.96472     -0.179969     8.15052     0     3     0
-3.00181     25.4516     1.60059     -1.20193     186.846     1.60446     8.22013     52.5963     1.67186     89.9723     0.000513176     -1928.59     -4.82406     -0.174674     8.22013     0     3     0
-3.25163     33.9784     1.59843     -1.1741     185.921     1.60707     8.79691     96.1705     1.65204     94.0447     0.000513176     -1935.4     -4.80924     0.329907     8.79691     0     3     0
-3.96145     30.7505     1.58622     -1.22966     183.181     1.60707     8.66841     130.098     1.69383     98.0636     0.000815058     -1943.05     -4.46143     -0.217994     8.66841     0     3     0
-4.257     31.3259     1.59504     -1.27416     183.515     1.61011     8.83179     111.642     1.69383     77.0777     0.00137697     -1930.51     -4.68979     0.108904     8.83179     0     3     0
-3.66454     17.2178     1.61262     -1.2471     181.664     1.61625     8.42465     101.197     1.67227     93.3584     0.00291777     -1934.23     -4.1914     -0.649294     8.42465     0     3     0
-3.46484     32.2471     1.60805     -1.2471     181.664     1.61625     8.31503     62.9011     1.67945     80.0146     0.00410352     -1931.51     -4.92378     0.30939     8.31503     0     3     0
-2.54504     31.5435     1.60958     -1.22076     181.664     1.61646     8.50573     107.859     1.62818     85.5635     0.000173596     -1929.67     -4.8607     0.219424     8.50573     0     3     0
-2.07708     19.9524     1.60958     -1.29218     181.651     1.61341     8.10957     74.7957     1.69344     84.1729     0.000173596     -1932.6     -4.93437     -0.364034     8.10957     0     3     0
-2.5873     27.4126     1.60471     -1.26825     181.273     1.61455     8.39388     74.7957     1.65608     92.576     0.000885488     -1933.1     -4.88611     -0.0715052     8.39388     0     3     0
-3.78241     17.9066     1.61284     -1.23236     181.429     1.61455     8.22381     85.9662     1.64893     95.0481     0.000362733     -1940.13     -4.71163     -0.55083     8.22381     0     3     0
-4.09083     30.8657     1.61284     -1.22803     182.584     1.61455     8.89949     105.97     1.67435     94.9355     0.000362733     -1930.11     -4.54749     -0.0312785     8.89949     0     3     0
