"b1_5"     "a1"     "c1"     "b2_5"     "a2"     "c2"     "Y1_gamma1"     "Y1_gamma2"     "LogPost"     "k1_5"     "k2_5"     "ktype1_5"     "ktype2_5"
-2.52987     125.668     1.66988     0.75849     179.89     1.65802     1.66652     0.000580262     -1370.55     -2.63408     0.699041     0     0
-2.52272     127.082     1.66988     0.841988     153.301     1.65003     2.71352     6.71173e-05     -1364.14     -2.42168     0.824382     0     0
-2.52074     126.836     1.66988     0.584103     155.697     1.63684     3.10916     0.00330578     -1372.86     -2.31043     0.799374     0     0
-2.6627     124.355     1.67158     0.733818     143.897     1.67275     6.58915     0.000479937     -1367.93     -2.42012     0.738966     0     0
-2.61919     124.355     1.67158     0.716124     154.826     1.65106     1.4519     0.000479937     -1362.38     -2.42012     0.81833     0     0
-2.60623     124.419     1.66499     0.909493     169.475     1.67113     0.0671989     0.00349023     -1366.71     -2.73295     1.194     0     0
-2.60825     123.715     1.6708     0.702208     160.34     1.67676     0.0661095     0.00038966     -1365.37     -2.56111     0.9379     0     0
-2.57313     122.911     1.6708     0.56118     165.657     1.66358     2.82819     0.00493224     -1363.7     -2.31338     1.04784     0     0
-2.54095     123.55     1.67446     0.943857     173.517     1.65697     13.0273     0.00228484     -1370.28     -2.56271     1.04784     0     0
-2.54013     124.957     1.67446     0.731686     159.654     1.66057     6.52518     0.00302664     -1367.13     -2.39087     0.990926     0     0
-2.59834     125.658     1.66792     1.02369     163.617     1.64696     0.853665     0.00774804     -1364.29     -2.54769     1.28062     0     0
-2.59834     125.608     1.6648     0.818971     145.306     1.74326     7.52355     0.00212396     -1373.93     -2.49551     0.915648     0     0
-2.56978     125.252     1.66513     0.599843     159.006     1.69174     0.789745     0.00426636     -1368.69     -2.57997     0.738573     0     0
-2.58826     125.252     1.66513     0.786713     159.006     1.6978     2.53915     0.00925724     -1368.78     -2.59207     0.765556     0     0
-2.56228     124.202     1.66998     0.84172     174.484     1.6289     1.96217     0.0050831     -1368.56     -2.8862     0.661796     0     0
-2.55833     124.537     1.6675     0.651748     185.003     1.64103     6.37818     0.004013     -1371.72     -2.39431     1.11171     0     0
-2.49277     123.185     1.66945     0.854344     185.003     1.62426     0.133988     0.0147589     -1371.7     -2.29928     1.03367     0     0
-2.64633     123.185     1.66554     0.952395     198.082     1.62426     1.85669     0.00646     -1364.6     -2.42917     0.982414     0     0
-2.60814     122.448     1.65883     0.651226     174.755     1.62153     0.939642     0.00127593     -1367.89     -2.53496     0.913636     0     0
-2.66429     123.731     1.65612     0.709538     168.736     1.70058     2.51551     0.00401417     -1364.14     -2.70628     0.910187     0     0
-2.56475     126.105     1.6585     0.950853     149.83     1.67736     2.10607     0.0088581     -1372.79     -2.08269     1.09088     0     0
-2.56475     126.105     1.65933     0.645983     154.158     1.6795     3.26015     0.00299042     -1366.16     -2.50295     0.575398     0     0
-2.46791     127.055     1.65933     0.562995     161.266     1.65761     1.54133     0.00225819     -1370.37     -2.65478     0.707274     0     0
-2.53524     127.522     1.65114     0.405838     187.688     1.62539     0.503459     0.00464904     -1366.95     -2.52644     0.913414     0     0
-2.53626     128.032     1.65348     0.750156     181.62     1.65151     2.84829     0.00180753     -1364.66     -2.54546     0.827376     0     0
-2.53002     127.542     1.65926     0.754096     178.688     1.65151     2.71354     0.00325566     -1361.42     -2.3457     1.04222     0     0
-2.52851     127.346     1.65926     0.913674     177.712     1.62547     0.400866     0.00224954     -1363.63     -2.53875     0.779341     0     0
-2.54893     127.365     1.65675     1.0063     167.728     1.63279     1.6529     0.00245132     -1370.74     -2.70959     1.05905     0     0
-2.54464     126.671     1.66432     0.804815     156.666     1.65574     4.72244     9.781e-05     -1370.02     -2.41581     1.05905     0     0
-2.54384     126.317     1.66136     0.7935     151.004     1.69934     5.83273     0.00389391     -1370.36     -2.74092     0.561139     0     0
-2.62003     125.581     1.67003     0.951283     151.004     1.66879     0.524953     0.00323893     -1368.26     -2.2754     0.672531     0     0
-2.56795     125.191     1.67296     0.926204     148.483     1.68694     2.87317     0.00444262     -1376.22     -2.52223     0.544062     0     0
-2.46022     125.433     1.66435     0.617619     152.314     1.69628     0.525351     0.000982116     -1365.5     -2.41913     0.536151     0     0
-2.5769     125.433     1.66435     0.829165     151.381     1.71249     1.85352     0.00424641     -1367.72     -2.38022     0.668575     0     0
-2.57563     124.596     1.65811     0.515105     155.651     1.66973     3.3563     0.00342995     -1366.76     -2.43716     0.835267     0     0
-2.59635     123.377     1.67895     0.615116     159.225     1.66973     0.459398     0.00037372     -1369.58     -2.61286     0.98641     0     0
-2.59297     123.015     1.68706     0.651127     156.968     1.66973     16.8261     0.000231064     -1374.4     -2.13656     0.524573     0     0
-2.50907     122.919     1.68706     0.538549     156.074     1.68977     9.18479     0.000281591     -1366.34     -2.42281     0.487847     0     0
-2.52606     124.718     1.68642     0.719566     159.546     1.64142     5.79983     0.00386561     -1373.45     -2.04881     1.17982     0     0
-2.49816     125.252     1.68478     0.74027     147.779     1.67834     0.621088     0.000206444     -1368.28     -2.55681     0.658595     0     0
-2.57991     123.426     1.6858     0.832118     151.891     1.67758     9.61795     0.00369824     -1367.27     -2.53954     0.856138     0     0
-2.57991     122.275     1.69406     0.780582     161.794     1.64612     11.5166     0.00406148     -1370.67     -2.50021     0.987855     0     0
-2.57557     123.42     1.69362     0.786132     178.82     1.66203     3.96789     0.00154041     -1366.03     -2.48493     1.20467     0     0
-2.6372     123.433     1.69052     1.45629     177.055     1.64955     4.40459     0.00253496     -1368.56     -2.43826     1.28095     0     0
-2.54261     125.46     1.6739     0.897258     163.139     1.65836     1.67763     0.00440668     -1364.26     -2.50411     1.04237     0     0
-2.50853     125.287     1.67671     0.982768     178.097     1.64836     0.922992     0.00942023     -1370.76     -2.39241     1.04237     0     0
-2.58222     123.177     1.67774     0.753057     174.547     1.64836     0.129678     0.00613245     -1363.49     -2.64301     0.892113     0     0
-2.58222     123.73     1.66178     0.814161     176.186     1.65947     0.129678     0.0057615     -1367.68     -2.24118     0.884857     0     0
-2.59609     123.73     1.65384     0.468057     182.574     1.63164     1.63393     0.00113188     -1365.93     -2.61453     0.693453     0     0
-2.64532     123.734     1.65002     0.694995     191.698     1.59964     4.10394     0.00187973     -1369.54     -2.56183     0.859867     0     0
-2.57823     125.926     1.6448     0.509992     203.744     1.65093     0.760318     0.00574715     -1371.65     -2.72413     0.662563     0     0
-2.64421     123.648     1.66794     0.717882     198.722     1.642     2.31475     0.00574715     -1364.83     -2.35227     0.983896     0     0
-2.6314     123.906     1.67508     0.718095     195.837     1.59019     1.01062     0.00719271     -1369.79     -2.59338     0.930438     0     0
-2.55423     122.629     1.675     0.659783     196.122     1.65377     0.752175     0.000737249     -1370.07     -2.31045     1.02827     0     0
-2.61143     122.629     1.66384     0.903062     185.553     1.63346     6.3893     0.00520957     -1367.51     -2.60574     1.02592     0     0
-2.54931     124.115     1.66314     0.689279     175.606     1.62486     11.8494     0.00303038     -1369.42     -2.20737     1.11289     0     0
-2.63672     121.832     1.66179     0.919913     191.457     1.60969     3.07787     0.00158003     -1365.87     -2.8108     1.16098     0     0
-2.57129     122.092     1.66179     0.928578     184.875     1.67114     1.57908     0.000251497     -1366.73     -2.31825     1.1175     0     0
-2.6329     121.658     1.6601     0.713994     184.875     1.65805     4.00446     0.00140412     -1367.68     -2.48562     0.975669     0     0
-2.6027     122.485     1.6601     0.86944     184.875     1.66211     7.65214     0.0024678     -1363.89     -2.48562     1.15779     0     0
-2.62459     122.457     1.6601     0.627796     179.522     1.62828     1.83727     0.00587276     -1364.89     -2.57894     0.715944     0     0
