"b1_10"     "a1"     "c1"     "b2_10"     "a2"     "c2"     "Y1_gamma1"     "Y1_gamma2"     "LogPost"     "k1_9"     "k2_9"     "ktype1_9"     "ktype2_9"
-2.19261     123.177     1.67774     1.69578     174.547     1.64836     0.129678     0.00613245     -1363.49     -2.19261     1.69578     0     0
-2.28508     123.73     1.66178     1.6003     176.186     1.65947     0.129678     0.0057615     -1367.68     -2.28508     1.6003     0     0
-2.30261     123.73     1.65384     1.51403     182.574     1.63164     1.63393     0.00113188     -1365.93     -2.30261     1.51403     0     0
-2.28225     123.734     1.65002     1.62311     191.698     1.59964     4.10394     0.00187973     -1369.54     -2.28225     1.62311     0     0
-2.08477     125.926     1.6448     1.52631     203.744     1.65093     0.760318     0.00574715     -1371.65     -2.08477     1.52631     0     0
-2.11446     123.648     1.66794     1.35417     198.722     1.642     2.31475     0.00574715     -1364.83     -2.11446     1.35417     0     0
-2.25304     123.906     1.67508     1.61307     195.837     1.59019     1.01062     0.00719271     -1369.79     -2.25304     1.61307     0     0
-2.04691     122.629     1.675     1.36428     196.122     1.65377     0.752175     0.000737249     -1370.07     -2.04691     1.36428     0     0
-2.21929     122.629     1.66384     1.47246     185.553     1.63346     6.3893     0.00520957     -1367.51     -2.21929     1.47246     0     0
-2.21873     124.115     1.66314     1.41563     175.606     1.62486     11.8494     0.00303038     -1369.42     -2.21873     1.41563     0     0
-2.21385     121.832     1.66179     1.51044     191.457     1.60969     3.07787     0.00158003     -1365.87     -2.21385     1.51044     0     0
-2.37548     122.092     1.66179     1.63708     184.875     1.67114     1.57908     0.000251497     -1366.73     -2.37548     1.63708     0     0
-2.1758     121.658     1.6601     1.53876     184.875     1.65805     4.00446     0.00140412     -1367.68     -2.1758     1.53876     0     0
-2.18527     122.485     1.6601     1.40969     184.875     1.66211     7.65214     0.0024678     -1363.89     -2.18527     1.40969     0     0
-2.21602     122.457     1.6601     1.51185     179.522     1.62828     1.83727     0.00587276     -1364.89     -2.21602     1.51185     0     0
-2.21602     121.672     1.65559     1.35743     188.178     1.62828     0.832407     0.0028064     -1364.92     -2.21602     1.35743     0     0
-2.3029     121.194     1.64649     1.47663     188.635     1.66819     4.06823     0.00275335     -1369.55     -2.3029     1.47663     0     0
-2.08094     121.452     1.64776     1.10653     188.635     1.65788     0.443191     0.00435997     -1364.04     -2.08094     1.10653     0     0
-2.08094     123.34     1.64776     1.33465     176.885     1.70234     2.91078     0.00060594     -1369.26     -2.08094     1.33465     0     0
-2.27372     124.042     1.64455     1.30447     176.333     1.64482     0.644527     0.00492378     -1366.81     -2.27372     1.30447     0     0
-2.15205     125.002     1.64538     1.24728     192.844     1.6228     3.13987     0.001844     -1364.82     -2.15205     1.24728     0     0
-2.16543     126.476     1.64251     1.38645     179.061     1.62562     0.271054     0.00725088     -1368.42     -2.16543     1.38645     0     0
-2.20022     124.121     1.65494     1.37627     190.314     1.63635     2.97597     0.000358764     -1365.64     -2.20022     1.37627     0     0
-2.20022     122.7     1.65236     1.48565     185.843     1.66664     0.0925469     0.0043781     -1363.9     -2.20022     1.48565     0     0
-2.20022     122.827     1.65422     1.38551     173.076     1.66624     5.41626     0.000794269     -1368.64     -2.20022     1.38551     0     0
-2.19615     122.132     1.66123     1.30594     180.283     1.66624     1.26555     0.00552664     -1362.99     -2.19615     1.30594     0     0
-2.13576     120.848     1.6686     1.30437     183.25     1.65014     2.74438     0.00234048     -1365.78     -2.13576     1.30437     0     0
-2.1557     119.157     1.68263     1.2315     173.418     1.6651     0.0649692     0.00865246     -1364.72     -2.1557     1.2315     0     0
-2.1557     119.397     1.68408     1.44995     173.418     1.68102     0.135396     0.00899648     -1368.69     -2.1557     1.44995     0     0
-2.20024     120.314     1.68408     1.15269     159.276     1.659     5.70782     0.00323164     -1370.12     -2.20024     1.15269     0     0
-2.10022     118.435     1.67991     1.25319     159.807     1.6915     6.37486     0.00689016     -1367.9     -2.10022     1.25319     0     0
-2.10022     118.435     1.68255     1.18931     162.988     1.68704     0.614848     0.0119559     -1366.48     -2.10022     1.18931     0     0
-2.14483     119.386     1.67707     1.36809     173.557     1.65313     0.17508     0.00716407     -1367.78     -2.14483     1.36809     0     0
-2.13074     119.891     1.67707     1.34871     182.004     1.63939     1.7654     0.01009     -1375.29     -2.13074     1.34871     0     0
-2.17936     120.559     1.67061     1.44514     185.102     1.63939     5.9269     0.00162664     -1370.06     -2.17936     1.44514     0     0
-2.23013     121.313     1.67049     1.57162     207.013     1.62517     6.68691     0.000378721     -1366.69     -2.23013     1.57162     0     0
-2.20291     123.052     1.65301     1.54718     193.99     1.64776     2.23651     0.000378721     -1363.39     -2.20291     1.54718     0     0
-2.31217     123.85     1.6439     1.52996     186.505     1.61719     2.1245     0.000378721     -1369.32     -2.31217     1.52996     0     0
-2.25661     125.677     1.64239     1.50213     173.693     1.68907     1.26842     0.00545284     -1367.14     -2.25661     1.50213     0     0
-2.37131     123.849     1.65498     1.46472     177.96     1.63052     5.80143     0.00189637     -1371.14     -2.37131     1.46472     0     0
-2.21393     121.446     1.64665     1.32806     197.013     1.63052     4.58587     0.00189637     -1367.59     -2.21393     1.32806     0     0
-2.23188     121.587     1.65163     1.32806     191.912     1.63052     8.1483     0.000869332     -1367.02     -2.23188     1.32806     0     0
-2.35052     121.274     1.65441     1.32806     207.866     1.66613     2.33985     0.00138417     -1371.12     -2.35052     1.32806     0     0
-2.2847     122.989     1.65497     1.50812     206.61     1.61471     1.15957     0.00154394     -1366.71     -2.2847     1.50812     0     0
-2.17827     125.013     1.65094     1.30224     184.872     1.61255     0.172923     0.00145635     -1366.29     -2.17827     1.30224     0     0
-2.13093     124.811     1.64246     1.24114     206.435     1.5841     9.69746     0.00375815     -1376.31     -2.13093     1.24114     0     0
-2.11556     128.208     1.63671     1.19805     188.031     1.61593     0.323155     0.00156859     -1369     -2.11556     1.19805     0     0
-2.13085     128.81     1.63031     1.19705     196.688     1.61593     7.25718     0.00308626     -1379.12     -2.13085     1.19705     0     0
-2.23941     131.122     1.63733     1.63756     177.759     1.69599     2.1368     0.0154593     -1373.16     -2.23941     1.63756     0     0
-2.16756     129.666     1.63733     1.28394     182.551     1.6501     5.26841     0.00173855     -1367.78     -2.16756     1.28394     0     0
-2.08224     127.633     1.63733     1.21834     174.096     1.6498     1.47845     0.00237055     -1369.18     -2.08224     1.21834     0     0
-2.17737     126.585     1.6435     1.4132     191.487     1.61141     2.13138     0.00821681     -1368.17     -2.17737     1.4132     0     0
-2.17737     127.652     1.63746     1.4132     192.14     1.64064     5.93148     0.011245     -1372.34     -2.17737     1.4132     0     0
-2.21068     129.094     1.63331     1.40327     184.227     1.65951     1.2065     0.00503214     -1367     -2.21068     1.40327     0     0
-2.22703     129.581     1.63331     1.43485     189.888     1.63991     1.12709     0.00602384     -1372.29     -2.22703     1.43485     0     0
-2.23279     129.546     1.63724     1.39964     193.159     1.62621     0.367516     0.0024076     -1365     -2.23279     1.39964     0     0
-2.14903     129.536     1.63724     1.36236     186.332     1.65638     2.23994     0.00302372     -1365.26     -2.14903     1.36236     0     0
-2.11124     129.536     1.63678     1.40709     186.047     1.63957     0.613599     0.00409704     -1367.43     -2.11124     1.40709     0     0
-2.03874     128.537     1.63398     1.2812     197.867     1.6343     0.0784869     0.000860912     -1369.45     -2.03874     1.2812     0     0
-2.30013     126.941     1.64341     1.95767     205.126     1.60871     2.30073     0.000766003     -1374.56     -2.30013     1.95767     0     0
