"b1_1"     "a1"     "c1"     "b2_1"     "a2"     "c2"     "b3"     "a3"     "c3"     "Y1_gamma1"     "Y1_gamma2"     "LogPost"     "k1_11"     "k2_11"     "k3_11"     "ktype1_11"     "ktype2_11"     "ktype3_11"
-0.347222     185.092     1.59612     -0.0998958     211.974     1.66873     9.54952     52.358     1.6928     79.9508     0.00155687     -1966.57     -1.56097     8.10841     9.54952     0     3     0
-0.424054     184.952     1.59554     0.37382     212.327     1.66476     9.27132     52.358     1.67371     71.7347     0.00155687     -1961.3     -1.50814     8.43737     9.27132     0     3     0
-0.275799     184.428     1.59583     0.712059     211.722     1.667     9.28982     67.1888     1.70024     77.8457     0.000751731     -1964.09     -1.44478     5.18487     9.28982     0     3     0
-0.459559     184.614     1.59327     0.0282383     211.788     1.66813     8.98155     45.5597     1.66023     74.6013     0.00158156     -1959.64     -1.5279     6.5971     8.98155     0     3     0
-0.539953     183.731     1.59363     0.0282383     212.433     1.66975     8.9921     77.3563     1.66576     74.2217     0.00491715     -1965.16     -1.55578     7.89273     8.9921     0     3     0
-0.122984     184.658     1.59258     0.0835034     210.358     1.67555     9.44691     43.6694     1.69487     79.2605     0.00491641     -1970.74     -1.54291     5.9842     9.44691     0     3     0
-0.529088     185.125     1.59288     1.00857     205.657     1.67463     9.29589     41.2007     1.65721     83.4486     0.00491641     -1963.95     -1.5516     6.08572     9.29589     0     3     0
-0.529088     185.242     1.59338     -0.00172311     206.953     1.67599     9.289     25.0064     1.65721     77.2606     0.00259275     -1961.36     -1.46201     7.91843     9.289     0     3     0
-0.558377     184.218     1.59478     0.0540229     205.83     1.67327     9.289     26.8473     1.63838     70.9756     0.00529995     -1963.92     -1.49877     4.76119     9.289     0     3     0
-0.422792     184.215     1.59516     -0.00628576     205.64     1.67276     9.38847     61.7984     1.66766     82.0233     0.00498824     -1963.97     -1.49877     8.52197     9.38847     0     3     0
-0.425064     183.533     1.59583     0.447188     206.72     1.66913     9.48514     75.4096     1.64296     66.8002     0.00244882     -1972.58     -1.48172     9.01573     9.48514     0     3     0
-0.459209     185.232     1.59376     0.0361925     205.514     1.66947     9.00109     86.6036     1.68429     81.383     0.00244882     -1961.39     -1.53921     8.15894     9.00109     0     3     0
-0.490085     186.479     1.59067     0.889554     206.902     1.66947     9.30574     50.1455     1.64618     75.4635     0.00342777     -1965.76     -1.43487     8.09263     9.30574     0     3     0
-0.139146     187.382     1.59344     -0.0303038     208.255     1.6743     9.30574     56.3596     1.67372     71.9509     0.00327076     -1961.47     -1.49315     5.93061     9.30574     0     3     0
-0.515083     187.218     1.59399     0.716074     207.779     1.67858     9.12271     90.3876     1.66734     72.7353     0.00671725     -1969.24     -1.45694     8.69148     9.12271     0     3     0
-0.592297     185.616     1.59639     0.441281     208.876     1.67858     9.26764     66.6507     1.65846     82.6062     0.00233616     -1961.23     -1.47246     6.19697     9.26764     0     3     0
-0.576047     186.004     1.59307     0.995299     206.665     1.67858     9.37484     47.5409     1.64754     72.2008     0.0020825     -1960.42     -1.49017     7.39946     9.37484     0     3     0
-0.735044     186.003     1.59373     0.838559     208.193     1.67549     9.51405     41.6647     1.64881     72.9874     0.00494947     -1967.59     -1.44348     8.42672     9.51405     0     3     0
-0.294784     186.434     1.59106     -0.0337247     208.431     1.67329     9.51405     114.044     1.66506     82.2858     0.00358649     -1965.41     -1.51863     5.57073     9.51405     0     3     0
-0.431731     187.129     1.59171     0.637412     208.447     1.67709     9.53397     58.1906     1.65822     75.4286     0.00111069     -1965.83     -1.54996     5.58499     9.53397     0     3     0
-0.453598     186.211     1.59148     0.670975     208.299     1.67549     9.50024     63.2436     1.65822     76.2243     0.00259745     -1967.06     -1.48107     9.27987     9.50024     0     3     0
-0.410387     185.619     1.59426     0.666014     207.967     1.67566     9.12055     76.5688     1.65238     72.417     0.00321035     -1961.06     -1.53105     8.41738     9.12055     0     3     0
-0.414655     185.055     1.59491     1.10562     206.656     1.67566     9.11596     59.6077     1.65143     73.1713     0.00321035     -1963.26     -1.53105     5.88488     9.11596     0     3     0
-0.589726     184.612     1.59491     0.429413     206.393     1.67787     9.20202     59.6077     1.66378     97.1199     0.00344637     -1969.14     -1.51242     6.96435     9.20202     0     3     0
-0.353362     184.433     1.59777     0.640714     206.873     1.67903     9.14853     52.4646     1.68084     70.4523     0.00577081     -1963.38     -1.53271     8.11171     9.14853     0     3     0
-0.445479     184.259     1.59872     0.712741     205.4     1.67903     9.34586     80.0703     1.6629     77.0506     0.00597446     -1962.86     -1.52362     7.51798     9.34586     0     3     0
-0.374317     184.179     1.59878     0.608698     203.605     1.67569     9.34586     68.302     1.66875     72.4224     0.00911282     -1965.02     -1.47558     5.58806     9.34586     0     3     0
-0.416909     185.402     1.5964     0.327934     205.536     1.67273     9.51151     53.458     1.65399     78.9291     0.00515909     -1965.37     -1.45731     9.21097     9.51151     0     3     0
-0.455316     185.668     1.59643     0.172675     208.5     1.67273     9.32859     79.916     1.65399     75.5684     0.00155691     -1962.93     -1.44344     8.81164     9.32859     0     3     0
-0.451414     185.541     1.59755     0.485553     208.906     1.67273     9.37196     68.4047     1.65935     72.9116     0.00162102     -1958.53     -1.49217     7.12731     9.37196     0     3     0
-0.555196     185.569     1.59542     1.06789     211.689     1.66854     9.3711     27.6294     1.64646     87.9074     0.00103656     -1960.42     -1.47029     5.76421     9.3711     0     3     0
-0.432573     185.491     1.59271     0.546975     211.096     1.66905     9.3711     41.3697     1.62708     76.2399     0.00542046     -1963.33     -1.5327     6.73958     9.3711     0     3     0
-0.620289     185.552     1.59271     0.624457     205.782     1.6734     9.26888     85.5557     1.62708     84.5744     0.00203465     -1964.02     -1.60468     7.17848     9.26888     0     3     0
-0.412775     186.072     1.59491     0.504569     204.533     1.676     9.33963     49.4141     1.6381     84.8267     0.000717964     -1960.17     -1.57247     8.4241     9.33963     0     3     0
-0.412775     186.103     1.5964     0.318766     203.69     1.676     9.40859     86.1066     1.66641     80.7416     0.00493588     -1968.74     -1.54542     6.27015     9.40859     0     3     0
-0.767932     185.606     1.59698     0.774145     203.69     1.676     9.52183     63.0955     1.68556     80.3519     0.00256775     -1973.96     -1.49435     8.4844     9.52183     0     3     0
-0.473987     186.168     1.59698     0.898307     203.845     1.67812     9.38535     27.6636     1.68685     78.8713     0.00110117     -1962.62     -1.4448     8.86516     9.38535     0     3     0
-0.480123     186.115     1.59586     0.543536     204.462     1.67906     9.27293     27.6636     1.63506     80.8869     0.000686515     -1963.08     -1.50146     8.99966     9.27293     0     3     0
-0.263267     186.368     1.59955     0.218023     204.949     1.68039     9.26349     50.4521     1.67123     82.8064     0.000325167     -1958.83     -1.51096     7.17134     9.26349     0     3     0
-0.504429     186.368     1.59955     0.429734     204.949     1.68039     9.29831     58.8283     1.67123     79.5125     0.00309399     -1954.97     -1.55393     7.82566     9.29831     0     3     0
-0.495254     185.788     1.59595     0.524401     204.088     1.67919     9.32614     55.0881     1.67123     78.5053     0.00309399     -1961.3     -1.43773     8.80241     9.32614     0     3     0
-0.227013     185.758     1.59645     0.378291     204.159     1.67955     9.32674     78.5819     1.64616     70.514     0.00464935     -1962.6     -1.46586     6.85083     9.32674     0     3     0
-0.474361     186.247     1.59657     0.427036     205.007     1.68024     9.34444     50.2287     1.64698     79.2449     0.00283277     -1962.01     -1.51125     7.41834     9.34444     0     3     0
